СТАТУСЫ ПЕРВИЧНОГО КОНТАКТА / 1_ОТ ЗАЯВКИ ДО КВАЛА,,,
2_Не устроили условия кредитования (дистанционно),"Клиент запросил расчёт кредита до визита. Условия (ставка, платёж) его не устроили, от дальнейшего общения отказался.","Указать запрошенные условия, дистанционный расчёт/предложение и конкретную причину отказа клиента.",КВАЛ
2_Сброс при разговоре (вторичный контакт),После первичного контакта/договорённостей клиент сбрасывает звонок или прекращает разговор на этапе вторичного контакта.,"Зафиксировать тему разговора, момент сброса и историю предыдущих договорённостей.",КВАЛ
,,,
СТАТУСЫ ПОСЛЕ ВИЗИТА / 3_ОТ ВИЗИТА,,,
Статус,Критерии применения,Обязательные действия в CRM карточке,КВАЛ / НЕ КВАЛ
3_Отказ банка (был в автосалоне),Только для КСО. Все доступные банки дали официальный отказ.,"Статус проставляется КСО/ответственным сотрудником после визита. Указать банки/результат решения, если доступно.",КВАЛ
3_ФССП не подаем (был в автосалоне),Преимущественно для КСО. Выявлены неоплаченные задолженности по исполнительным производствам (ФССП).,"Статус проставляется КСО. Иногда менеджером CRM, если проверили данные для дистанционной заявки по клиенту, который находится далеко.",КВАЛ
"3_Был в салоне, не подобрали авто",После визита и осмотра ни один вариант не устроил клиента.,"Перечислить показанные автомобили и ключевую причину отказа (бюджет, цвет, размер).",КВАЛ
"3_Одобрен, но не купил","Банк одобрил кредит, но клиент отказался от подписания договора купли-продажи.",Статус проставляется КСО,КВАЛ
3_Не устроило состоянии авто,После очного осмотра в салоне клиента не устроило состояние выбранного автомобиля.,"Уточнить у МОП детали, отразить комментарий в CRM. (напр., «Обнаружены следы перекраса на пороге»).",КВАЛ
3_Не устроили условия кредитования (был в автосалоне),После получения детального расчёта и предодобрения в салоне клиента не устроили финальные условия. Подавать заявку отказался.,Статус проставляется КСО/CRM,КВАЛ
3_Не устроила оценка,Предложенная сумма за автомобиль клиента (Trade-in/выкуп) его не устроила.,Указать ожидаемую и предложенную суммы.,КВАЛ
3_Авто клиента нам не интересно (не устроило качество),"Автомобиль клиента не соответствует требованиям салона (состояние, модель в STOP-листе и т.п.).","Уточнить у МОП детали, отразить комментарий в CRM. (напр., тех. состояние, юридические ограничения).",КВАЛ
,,,
АЛГОРИТМ РАБОТЫ С НЕДОЗВОНАМИ,,,
"Если у Вас в течение дня ПЕРЕД выходными появились в работе сделки (в любой из воронок продаж), с клиентами которых не удалось связать (не дозвонились, не списались и тд), то ставите задачу на свой СЛЕДУЮЩИЙ РАБОЧИЙ ДЕНЬ.",,,
"ЕСЛИ клиент с которым Вы пытались связаться, вышел на связь, то есть два пути:",,,
"1. самостоятельно наладить с ним контакт и взять в работу, передать в город если необходимо. (касается целевого клиента. не целевых в рабочий день можно закрыть.)",,,
"2. если возможности выполнить 1 пункт нет, то попросить коллег взять клиента в работу, закрепить.",,,
"НО! Никто не в праве Вам запретить выделить в свой выходной день небольшой промежуток времени, чтобы прозвонить НДЗ, дабы разгрузить себя на грядущие рабочие дни.",,,
,,,
Алгоритм звонков по ТЁПЛЫМ и СРМ не меняется.,,,
Если заявка упала утром,,,
1ый день утро - звоним 1 раз с личного + 1 раз с манго. обязательно отправляем визитку любым приоритетным способом.	,,,
1-ый день вечер - звоним 1 раз с личного + 1 раз с манго.,,,
2-ой/следующий день в любое время - звоним 1 раз с личного + 1 раз с манго.,,,
Если заявка падает в середине дня или вечером,,,
1-ый день вечер - звоним 1 раз с личного + 1 раз с манго. обязательно отправляем визитку любым приоритетным способом.,,,
2-ой/следующий день утро - звоним 1 раз с личного + 1 раз с манго.,,,
2-ой/следующий день вечер - звоним 1 раз с личного + 1 раз с манго.,,,
"Любые действия, которые делаете в сделке - фиксируйте комментариями!",,,
СХЕМА ПРЕМИРОВАНИЕЯ И МОТИВАЦИЯ,,,
Выполнение плана,Коэффициент,,
Менее 80%,0.8,,
80% – не более 100%,0.9,,
100% – 130%,1.0,,
Более 130% – 150%,1.1,,
Более 150%,1.2,,
Коэффициент действует только на премиальную часть,,,
,,,
"Клиенты КОТЕЛ
карточки закрытые менее года назад. Если карточке более года - не КОТЕЛ.
В таких карточках, в любом из событий, делается смена ответственных:
Ответственный: Киричок Лидия / CRM ответственный: Киричок Лида",,,
"Нежданный клиент:
Если такой клиент приехал в салон и с момента последнего взаимодействия прошло менее 2 (двух) месяцев, то менеджер записывает визит/сделку/продажу себе. Если прошло более 2, но не более 4 месяцев, то клиент идет в КОТЕЛ.",,,
"Визиты с КОТЛА не идут в зачет плана, но идут в расчет ПРЕМИИ",,,
